reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app_id
769675b5-c3ac-4a98-ae2c-82148e64c852,Marie b,https://play-lh.googleusercontent.com/a/ACg8ocKBfFWMwn8xapdBksKYkKqqA0MqLCY8Wcphggd_I_sX=mo,"I have brought items using this app and the app works well, very easy to find what you are looking for, they have a huge variety of items and prices are good, free shipping can be slow if you don't want to pay for shipping. But all in all the app is great, I enjoy using it. Update, I have recently notice that some sellers are showing an item with a low price but when you go to puchase it, it is not that item. It is a different item for the lower price. And the item you wanted cost more. Unfair.",4,1470,8.81.8,2023-10-03 23:51:11,,,8.81.8,com.alibaba.aliexpresshd
d8d8ff50-227b-4454-a7e6-b854db4e4fd9,Braydon Rhinehart,https://play-lh.googleusercontent.com/a-/ALV-UjVYOUXmYdtEC92sPX8I3K_r_ShDXD3IqrFjkrOVnIBaFg0,"It's a really great service! I've gotten decent quality items in the past + it's easy to use! However my issue is the shipping/shipping times. A lot of times I check the shipping on the items I order and it says it's in my city, yet the next day I check it says it hasn't even been sorted in the sorting centers! Aliexpress would be top tier if they fixed this small issue, because quite frankly I'm tired of checking the mail every single morning, just to be disappointed.",3,54,8.81.8,2023-10-03 08:25:39,,,8.81.8,com.alibaba.aliexpresshd
742db573-01c6-44c9-9080-29f05bbef7fb,Estra T,https://play-lh.googleusercontent.com/a/ACg8ocJkYxwUK9sl4wSDcJ0KaZiG84S-DPSvjcI5Ds8-OxYf=mo,"I have to remove the app to be able to order from the website (otherwise website takes me back to the app), because the app isn't working for me. Besides there are multiple issues with the app as I can't see the buy 3 items to get free delivery and so many other things that are not working on the app. Not to mention the search menu is not showing what I really am searching for. I wish you would fix the appso I can rate it at 5, because so far I love shopping at AliExpress.",1,36,8.83.4,2023-11-15 22:53:20,,,8.83.4,com.alibaba.aliexpresshd
5b89733d-5986-4438-8c90-44898b2d5f28,mc2_Tech_Reviews,https://play-lh.googleusercontent.com/a-/ALV-UjW8MIfpFzvjUaHil7lnQDIhY44IbR59XBfY0obLYl0uctc,"I've been using Aliexpress for a few years now with much success buying good quality products and saving money. Shipping times have always been outstanding. If an issue with a product I ordered ever came up, it was resolved in a timely fashion. Overall, I have no complaints about using the Aliexpress app and can definitely recommend anyone to use it.",5,63,8.82.3,2023-10-19 18:39:17,,,8.82.3,com.alibaba.aliexpresshd
83d8fcf0-a53c-445d-b534-a4a8d084cacc,Terry Donald Washington,https://play-lh.googleusercontent.com/a-/ALV-UjVO96wK1m-f6TmRFnBYWOVvTAnH860SbiimVoc06t2JpQ,"I did almost all of my online shopping on my laptop for ages. Over the last few years I've started using phone apps. This one is pretty good. They have made many improvements over time. Really good sales pop up from time to time. There are several games built in for winning discount coins. Overall it's a pretty decent experience. Personally, I keep the notifications off so that I don't get bombarded with annoying ads constantly.",5,752,8.80.1,2023-09-20 14:23:09,,,8.80.1,com.alibaba.aliexpresshd
96966575-3081-4317-896d-fa12f9381957,Kate Hakken,https://play-lh.googleusercontent.com/a-/ALV-UjVXUk9OPNYN8JhWjwIJ2pV1pBsqLXZvpot7FHzqarxCJ6iK,"You may or may not receive your order. If you do not, be prepared to jump through months of hoops to try to get a refund. The only dispute process is to call the courier that never received the item and get them to certify non receipt. Very shady in bait and switch pricing, too. An item will list at one price, but it's actually another price, but posted with an entirely different item that is the first price. Shady all around.",1,159,8.81.8,2023-11-03 10:16:58,,,8.81.8,com.alibaba.aliexpresshd
84553b89-ba1b-4953-88a4-47bdf5fb9118,Armand L Lavallee Jr,https://play-lh.googleusercontent.com/a-/ALV-UjWGQZfC79stDA7bN6oIUjDiW64ZVre9Hd5FWVmUAePRYnY,I've reviewed this shopping app before and gave it one star. At the time everything was going wrong. I was getting items that didn't last. They'd break under the lightest usage conditions and I could not get a resolution on a credit that was owed to me. I had to go through my bio and lo and behold I got not only the 50% credit they offered me I got a total refund back into my bank account. Since then I've still been shopping on this site and have bought a lot of items. I've had positive results.,4,627,8.81.8,2023-10-10 10:37:18,,,8.81.8,com.alibaba.aliexpresshd
e164516a-5019-4f08-8504-c3e25e12eb0b,Scott,https://play-lh.googleusercontent.com/a/ACg8ocL_qzTSiaT00zY90GPy6IuLZseH3Be1TFX1WemJKryr=mo,Products are excellent. However cancelling orders is difficult and laborious. Substantial discounts did not get applied to the orders as promised by ae and any further orders had to be held up. This is very distressing and will cause problems for the whole months purchases. Tracking is becoming an issue .The product has been delivered and is excellent. The closing process does need to be improved a little bit to make accidents less likely. More like the reviews where each item is checked off.,3,705,8.82.3,2023-10-20 17:41:07,,,8.82.3,com.alibaba.aliexpresshd
7dc5daa4-e7bd-4154-ab95-6f705b9f4008,Deanna Simpson,https://play-lh.googleusercontent.com/a-/ALV-UjXRd_ReTOgavMQydwnhh29YGYLStiJkUrFf9S-IP1JKh8E,Love how all of the products are very reasonably priced but you definitely have to read the description on each product because some of the items are misleading and you think your getting one thing when it's something totally different like a comforter set and all you get is the comforter shell sheet. Also it takes forever for some of the products to be delivered while some of them are delivered within a week but I guess it's worth it when your paying way less than what you would anywhere else.,3,192,8.82.3,2023-10-31 01:20:30,,,8.82.3,com.alibaba.aliexpresshd
c94305eb-68b3-44b5-8a75-1f728d55b5b0,Sue Stanton,https://play-lh.googleusercontent.com/a-/ALV-UjWEI-ubU3H15FGypOLKz8OnpB3Cx5pUUZyEM2lwWmX_Gg,"The app works fine. I can find stuff on AliExpress that is unique and I can't get on Temu or Wish. I don't like it that a seller will post a cheap price on an item then charge a lot for shipping or that price is only for one size and it's more for a different size. I think that's dishonest. It's a good app and they have good prices, but sometimes it says it'll be 2 months before it's delivered. So you have to be careful when you order.",5,112,8.79.4,2023-10-05 08:33:50,,,8.79.4,com.alibaba.aliexpresshd
b01932a5-d042-40eb-962d-27fc8cf835c5,chris agatep,https://play-lh.googleusercontent.com/a/ACg8ocKeLJwCZ0Rt0PsfbCMqmT0zwhQkOoOtdwTmq3LMSpuq=mo,"You get what you pay for. I've ordered quite a few things from them some good, some not so good. Good luck getting a refund in case anything goes wrong. I've had items missing from orders and issues with items not being as advertised and the amount of hoops you have to jump through and proof you need to provide to get a refund is ridiculous. 95% of the time aliexpress sides with the sellers regardless.",1,205,8.80.1,2023-09-23 21:30:51,,,8.80.1,com.alibaba.aliexpresshd
dbf96a9f-4a52-421e-8aea-26e8f787a226,Ashley Sanford,https://play-lh.googleusercontent.com/a-/ALV-UjV4tsNggGlKvNgv-2R7-1AE9yxzQ_6ps0g3XvTtgsrTiuEK,"The cart system is very odd, it doesnt show you what you actually have selected first, so you have to scroll to even find it, and it bugs so its not there. The wishlist has a limit, and the cart has a limit, too. So you can never save as many items as you want. Amazon never has this issue, so idk why they chose to do this. The ""my picks"" cart for the discount items bugs, so you can't click anything, slow loading times, etc. It's good, but boy, is this app bugged all to heck.",2,267,8.80.1,2023-09-23 05:58:16,,,8.80.1,com.alibaba.aliexpresshd
71ca4db7-edda-4133-a716-8eeb264cca96,Pavel Dz,https://play-lh.googleusercontent.com/a/ACg8ocJtERw-w2rx-Pf5UhumHAi_luYjNSklriuvfX7VJ_f_PQ=mo,"Overall the app and the service are very good. The only thing that drives me crazy is the regularly pop-up advertising windows, sometimes without the ability to close without clicking on them (or X is very well hidden); This behavior reminds me of low-grade sites with viral or aggressive advertising, which is disgusting.",4,488,8.82.3,2023-10-23 05:31:09,,,8.82.3,com.alibaba.aliexpresshd
